impath,imdesc
/data/samplebooks/img/scaled/284kk.jpg,1
/data/samplebooks/img/scaled/76g.jpg,2
/data/samplebooks/img/scaled/4788ww.jpg,1
/data/samplebooks/img/scaled/5303j.jpg,1
/data/samplebooks/img/scaled/2210e.jpg,2
/data/samplebooks/img/scaled/5414r.jpg,1
/data/samplebooks/img/scaled/4792i.jpg,1
/data/samplebooks/img/scaled/20d.jpg,3
/data/samplebooks/img/scaled/4882a.jpg,1
/data/samplebooks/img/scaled/5510e.jpg,1
/data/samplebooks/img/scaled/5497i.jpg,1
/data/samplebooks/img/scaled/902m.jpg,1
/data/samplebooks/img/scaled/5209p.jpg,12
/data/samplebooks/img/scaled/2319t.jpg,4
/data/samplebooks/img/scaled/20j.jpg,3
/data/samplebooks/img/scaled/4782l.jpg,1
/data/samplebooks/img/scaled/869g.jpg,2
/data/samplebooks/img/scaled/2084r.jpg,2
/data/samplebooks/img/scaled/5473ii.jpg,2
/data/samplebooks/img/scaled/304e.jpg,1
/data/samplebooks/img/scaled/5525d.jpg,1
/data/samplebooks/img/scaled/5472h.jpg,1
/data/samplebooks/img/scaled/5414a.jpg,1
/data/samplebooks/img/scaled/5500a.jpg,2
/data/samplebooks/img/scaled/4790t.jpg,2
/data/samplebooks/img/scaled/5414q.jpg,1
/data/samplebooks/img/scaled/1023e.jpg,1
/data/samplebooks/img/scaled/3198a.jpg,1
/data/samplebooks/img/scaled/5606c.jpg,1
/data/samplebooks/img/scaled/286s.jpg,1
/data/samplebooks/img/scaled/5501rr.jpg,1
/data/samplebooks/img/scaled/5533b.jpg,1
/data/samplebooks/img/scaled/3198nn.jpg,1
/data/samplebooks/img/scaled/5412g.jpg,1
/data/samplebooks/img/scaled/5545b.jpg,1
/data/samplebooks/img/scaled/5513h.jpg,1
/data/samplebooks/img/scaled/284d.jpg,2
/data/samplebooks/img/scaled/5509d.jpg,2
/data/samplebooks/img/scaled/2141e.jpg,2
/data/samplebooks/img/scaled/4911f.jpg,1
/data/samplebooks/img/scaled/5486cc.jpg,1
/data/samplebooks/img/scaled/2631h.jpg,1
/data/samplebooks/img/scaled/2546f.jpg,1
/data/samplebooks/img/scaled/2089w.jpg,2
/data/samplebooks/img/scaled/2081d.jpg,1
/data/samplebooks/img/scaled/5444b.jpg,1
/data/samplebooks/img/scaled/1007n.jpg,1
/data/samplebooks/img/scaled/2641h.jpg,1
/data/samplebooks/img/scaled/901s.jpg,1
/data/samplebooks/img/scaled/5464kk.jpg,1
/data/samplebooks/img/scaled/4929a.jpg,3
/data/samplebooks/img/scaled/301g.jpg,1
/data/samplebooks/img/scaled/2075xx.jpg,1
/data/samplebooks/img/scaled/5498j.jpg,4
/data/samplebooks/img/scaled/4786f.jpg,1
/data/samplebooks/img/scaled/5501tt.jpg,1
/data/samplebooks/img/scaled/4788xx.jpg,1
/data/samplebooks/img/scaled/5521mm.jpg,1
/data/samplebooks/img/scaled/5538h.jpg,1
/data/samplebooks/img/scaled/5513u.jpg,1
/data/samplebooks/img/scaled/5609d.jpg,6
/data/samplebooks/img/scaled/4885f.jpg,2
/data/samplebooks/img/scaled/4912g.jpg,1
/data/samplebooks/img/scaled/3214k.jpg,1
/data/samplebooks/img/scaled/5524j.jpg,1
/data/samplebooks/img/scaled/2968l.jpg,2
/data/samplebooks/img/scaled/5500z.jpg,2
/data/samplebooks/img/scaled/5499h.jpg,2
/data/samplebooks/img/scaled/5612h.jpg,2
/data/samplebooks/img/scaled/5540g.jpg,1
/data/samplebooks/img/scaled/5530f.jpg,1
/data/samplebooks/img/scaled/5169s.jpg,1
/data/samplebooks/img/scaled/5408d.jpg,2
/data/samplebooks/img/scaled/904m.jpg,3
/data/samplebooks/img/scaled/2076n.jpg,1
/data/samplebooks/img/scaled/5545j.jpg,1
/data/samplebooks/img/scaled/5484k.jpg,2
/data/samplebooks/img/scaled/2968yy.jpg,1
/data/samplebooks/img/scaled/5513p.jpg,1
/data/samplebooks/img/scaled/301c.jpg,1
/data/samplebooks/img/scaled/4782p.jpg,1
/data/samplebooks/img/scaled/3198g.jpg,1
